FEATURES_TXT_BEGIN_0 0 99 14 LexicalReordering0_0 LexicalReordering0_1 LexicalReordering0_2 LexicalReordering0_3 LexicalReordering0_4 LexicalReordering0_5 Distortion0_0 LM0_0 WordPenalty0_0 PhrasePenalty0_0 TranslationModel0_0 TranslationModel0_1 TranslationModel0_2 TranslationModel0_3 
-5.09329 0 0 -3.54923 0 0 0 -36.4773 -9 9 -7.60607 -7.32062 -3.37417 -3.26222 
-4.23302 0 0 -2.4871 0 0 0 -37.082 -9 9 -7.72394 -7.50215 -4.62344 -4.24997 
-4.88127 0 0 -3.22672 0 0 0 -38.418 -9 9 -6.64998 -6.13583 -3.00097 -2.99986 
-4.02099 0 0 -2.16458 0 0 0 -39.0227 -9 9 -6.76785 -6.31736 -4.25024 -3.98761 
-3.53134 0 0 -2.9754 0 0 0 -38.3608 -9 9 -7.18635 -7.95995 -3.40643 -4.73446 
-3.48385 0 -0.510826 -2.45062 0 -0.587786 -4 -36.4773 -9 9 -7.60607 -7.32062 -3.37417 -3.26222 
-3.48385 -1.60944 0 -3.0384 0 0 -3 -36.4773 -9 9 -7.60607 -7.32062 -3.37417 -3.26222 
-2.67106 0 0 -1.91327 0 0 0 -38.9655 -9 9 -7.30422 -8.14147 -4.6557 -5.72221 
-2.62358 0 -0.510826 -1.38848 0 -0.587786 -4 -37.082 -9 9 -7.72394 -7.50215 -4.62344 -4.24997 
-3.27183 0 -0.510826 -2.1281 0 -0.587786 -4 -38.418 -9 9 -6.64998 -6.13583 -3.00097 -2.99986 
-2.62358 -1.60944 0 -1.97627 0 0 -3 -37.082 -9 9 -7.72394 -7.50215 -4.62344 -4.24997 
-3.74336 0 0 -3.29792 0 0 0 -37.6086 -9 9 -8.14244 -9.14474 -3.77964 -4.99682 
-4.5055 0 0 -4.06005 0 0 0 -39.331 -10 9 -4.84045 -7.32062 -4.47278 -7.90661 
-3.27183 -1.60944 0 -2.71589 0 0 -3 -38.418 -9 9 -6.64998 -6.13583 -3.00097 -2.99986 
-3.48385 0 -0.510826 -1.93979 -1.60944 -0.587786 -4 -36.4773 -9 9 -7.60607 -7.32062 -3.37417 -3.26222 
-5.09329 0 0 -3.54923 0 0 0 -39.5142 -10 9 -6.21978 -7.32062 -3.37417 -7.90661 
